No.,Date,ID,Name,Switch,Brightness(%),Power Rate(%),Power Sum(W),Power AC(W),Power DC(W),Power Limit Hard(W),Power Limit Soft(W),Current Sum(A),Current Limit(A),DR(%),Led Count,Energy (kWh)
13988,12/28/21 12:15:53 AM,1_11,充电桩上电,1,25,100,18,18,0,0,0,0,0,0,4,84.003
5998,12/28/21 12:15:54 AM,1_63,C相电流上限,1,100,100,160,160,0,10000,0,1,0,0,1,12.184
9029,12/28/21 12:15:54 AM,1_61,A相电流上限,1,100,100,98,98,0,10000,0,0,0,0,1,7.551
19,12/28/21 12:15:54 AM,1_73,C相充电桩电,1,40,100,160,160,0,0,0,1,0,0,1,12.177
2990,12/28/21 12:15:54 AM,1_71,A相充电桩电,1,40,100,98,98,0,8800,0,0,0,0,1,7.556
1543,12/28/21 12:15:54 AM,1_72,B相充电桩电,1,25,100,18,18,0,8800,0,0,0,0,4,84.136
12076,12/28/21 12:15:54 AM,1_4,4号充电桩,0,0,100,0,0,0,0,0,0,0,0,1,26.277
13337,12/28/21 12:15:54 AM,1_2,2号充电桩,0,0,100,0,0,0,0,0,0,0,0,1,23.519
15407,12/28/21 12:15:54 AM,1_1,1号充电桩,0,0,100,0,0,0,0,0,0,0,0,1,17.341
10550,12/28/21 12:15:55 AM,1_51,配电箱总功�,1,50,100,334,334,0,30000,8800,2,0,0,7,110.019
4507,12/28/21 12:16:27 AM,1_65,四个充电桩�,1,25,100,18,18,0,10000,0,0,35,0,4,84.221
5999,12/28/21 12:16:54 AM,1_63,C相电流上限,1,100,100,172,172,0,10000,0,1,0,0,1,12.187
9030,12/28/21 12:16:54 AM,1_61,A相电流上限,1,100,100,110,110,0,10000,0,0,0,0,1,7.553
7525,12/28/21 12:16:54 AM,1_62,B相电流上限,1,50,100,77,77,0,10000,0,0,0,0,5,90.269
20,12/28/21 12:16:54 AM,1_73,C相充电桩电,1,40,100,172,172,0,0,0,1,0,0,1,12.18
2991,12/28/21 12:16:54 AM,1_71,A相充电桩电,1,40,100,110,110,0,8800,0,0,0,0,1,7.558
